time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1874	1.31296	5.19799	0.195986	0.144423	radar	4.91857	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4153	1.39608	5.17622	0.217081	0.15863	lidar	1.68736	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6563	1.47428	5.14528	0.235323	0.17023	radar	4.85534	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8855	1.51533	5.12387	0.237138	0.164036	lidar	1.42852	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1477	1.56515	5.13634	0.240036	0.158481	radar	1.41659	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4213	1.61876	5.15751	0.2432	0.153373	lidar	1.40398	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6576	1.67593	5.1346	0.250111	0.15347	radar	1.23097	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8895	1.74542	5.12066	0.26083	0.156734	lidar	0.625996	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1412	1.82914	5.13573	0.274144	0.161473	radar	1.20665	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.383	1.86884	5.12496	0.271055	0.150685	lidar	0.615332	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6345	1.92905	5.1365	0.274043	0.145467	radar	0.85091	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8389	2.05773	5.11157	0.306516	0.17077	lidar	4.08113	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0973	2.15582	5.14487	0.319772	0.173669	radar	3.63872	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3028	2.29362	5.1247	0.352592	0.1979	lidar	3.28089	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4976	2.42662	5.07752	0.385143	0.223291	radar	11.9307	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7418	2.54767	5.09294	0.404297	0.23088	lidar	0.782549	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9653	2.6556	5.0808	0.420126	0.236131	radar	0.458648	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.191	2.81005	5.09166	0.450568	0.254316	lidar	1.07731	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4347	2.91422	5.11367	0.456395	0.245123	radar	1.21729	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6418	3.00391	5.08661	0.462628	0.239852	lidar	2.13458	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8699	3.14453	5.10643	0.481995	0.245175	radar	4.1766	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0746	3.33348	5.11543	0.521692	0.272026	lidar	2.01595	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2897	3.48787	5.11429	0.546651	0.284665	radar	2.80747	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4988	3.67727	5.13064	0.581293	0.304299	lidar	1.41817	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7125	3.80767	5.12515	0.592439	0.30059	radar	0.741402	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9287	3.96231	5.13378	0.61009	0.302899	lidar	0.199924	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1301	4.12117	5.1207	0.633418	0.314407	radar	1.9073	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3248	4.31923	5.13502	0.665899	0.330348	lidar	0.953378	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
